elo_diff,avg_elo,material_diff_last,material_diff_avg,material_diff_var,ply_count,time_base,time_increment,outcome
11.0,1643.5,-7,-7.0,0.0,128,900.0,0.0,-1
-234.0,1904.0,-12,-12.0,0.0,110,900.0,0.0,-1
43.0,1544.5,-17,-16.3,6.01,90,900.0,0.0,-1
228.0,1904.0,-2,-1.5,2.25,105,900.0,0.0,1
-193.0,1547.5,-17,-16.0,0.2,74,900.0,0.0,-1
131.0,1495.5,-10,-8.8,5.16,55,900.0,0.0,1
116.0,1608.0,-2,-1.1,0.09,20,900.0,0.0,-1
-108.0,1490.0,-3,0.0,1.8,20,900.0,0.0,-1
96.0,1490.0,6,3.8,2.16,43,900.0,0.0,1
-19.0,1750.5,-13,-12.6,0.43999999999999995,84,900.0,0.0,-1
258.0,1856.0,-9,-7.5,5.25,146,900.0,0.0,-1
229.0,1718.5,14,12.7,15.209999999999999,91,900.0,7.0,1
106.0,2082.0,13,3.6,10.840000000000002,61,900.0,0.0,1
-10.0,1641.0,3,1.8,1.7599999999999998,59,900.0,0.0,1
-56.0,1573.0,-17,-12.9,15.290000000000001,92,900.0,0.0,-1
-23.0,1622.5,-10,-9.3,0.21000000000000002,82,900.0,0.0,-1
-406.0,1931.0,-2,-1.8,2.16,48,900.0,0.0,-1
-56.0,1601.0,-19,-20.8,10.559999999999999,126,900.0,0.0,-1
76.0,1601.0,-6,-3.8,10.96,94,900.0,0.0,-1
-62.0,1601.0,-18,-11.8,8.36,90,900.0,0.0,-1
30.0,2007.0,-4,-1.3,8.010000000000002,53,900.0,0.0,1
48.0,1601.0,17,8.4,8.440000000000001,65,900.0,0.0,1
266.0,1864.0,13,5.9,13.89,67,900.0,0.0,1
-66.0,1601.0,10,1.7,17.810000000000002,55,900.0,0.0,1
190.0,1723.0,-1,-1.1,1.09,47,900.0,0.0,1
52.0,1601.0,3,2.1,0.69,37,900.0,0.0,1
76.0,1573.0,-7,-5.6,2.44,68,900.0,0.0,-1
-72.0,1601.0,10,4.4,13.440000000000001,121,900.0,0.0,1
-265.0,1710.5,-1,-1.5,0.25,110,900.0,0.0,-1
58.0,1601.0,9,8.0,1.2,79,900.0,0.0,1
41.0,1622.5,0,0.0,0.0,40,900.0,0.0,-1
-182.0,1723.0,-4,-5.3,9.010000000000002,74,900.0,0.0,-1
401.0,1932.5,8,4.3,9.010000000000002,61,900.0,0.0,1
-44.0,1601.0,-11,-10.3,0.21000000000000002,92,900.0,0.0,-1
62.0,1601.0,-7,-4.3,11.61,60,900.0,0.0,-1
-51.0,1822.5,-9,-9.0,0.0,172,900.0,0.0,-1
-82.0,1601.0,12,4.1,7.090000000000001,129,900.0,0.0,1
174.0,1723.0,7,2.8,9.360000000000001,63,900.0,0.0,1
102.0,1601.0,-12,-6.3,14.01,108,900.0,0.0,-1
-59.0,1622.5,1,0.5,0.25,61,900.0,0.0,1
-90.0,1601.0,-6,-2.3,1.61,104,900.0,0.0,-1
-269.0,1672.5,-10,-1.8,7.56,38,900.0,0.0,-1
263.0,1672.5,11,3.7,11.61,91,900.0,0.0,1
-206.0,1823.0,7,4.3,18.410000000000004,109,900.0,0.0,1
-350.0,1564.0,0,0.5,0.25,12,900.0,0.0,-1
-14.0,2007.0,1,4.8,12.959999999999999,58,900.0,0.0,-1
-257.0,1672.5,-2,-2.0,0.0,80,900.0,0.0,-1
-794.0,1600.0,-8,-3.2,3.96,74,900.0,0.0,-1
346.0,1564.0,8,7.5,2.25,65,900.0,0.0,1
251.0,1672.5,9,6.9,9.09,59,900.0,0.0,1
72.0,1823.0,3,2.0,1.0,74,900.0,0.0,-1
-24.0,1590.0,7,-1.6,8.44,75,1200.0,5.0,1
-17.0,1668.5,-3,-2.1,2.4899999999999998,66,900.0,0.0,-1
